Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+asylum_seekers,#affected+oip,#affected+idps,#affected+stateless,#affected+others,#affected+hst
1972,MMR,LAO,Myanmar,Lao People's Democratic Republic,700,0,0,0,0,0,0
1972,MMR,MAC,Myanmar,"China, Macao Special Administrative Region",5000,0,0,0,0,0,0
1978,MMR,BGD,Myanmar,Bangladesh,160000,0,0,0,0,0,0
1979,MMR,BGD,Myanmar,Bangladesh,0,0,0,0,0,0,0
1988,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,7,0,0,0,0,0,0
1990,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,11,0,0,0,0,0,0
1990,MMR,USA,Myanmar,United States of America,13,0,0,0,0,0,0
1991,MMR,BGD,Myanmar,Bangladesh,40000,0,0,0,0,0,0
1991,MMR,DNK,Myanmar,Denmark,5,0,0,0,0,0,0
1991,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,15,0,0,0,0,0,0
1991,MMR,SWE,Myanmar,Sweden,5,0,0,0,0,0,0
1991,MMR,USA,Myanmar,United States of America,27,0,0,0,0,0,0
1992,MMR,BGD,Myanmar,Bangladesh,244994,0,0,0,0,0,0
1992,MMR,DNK,Myanmar,Denmark,5,0,0,0,0,0,0
1992,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,15,0,0,0,0,0,0
1992,MMR,SWE,Myanmar,Sweden,9,0,0,0,0,0,0
1992,MMR,USA,Myanmar,United States of America,104,0,0,0,0,0,0
1993,MMR,BGD,Myanmar,Bangladesh,198823,0,0,0,0,0,0
1993,MMR,DNK,Myanmar,Denmark,5,0,0,0,0,0,0
1993,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,15,0,0,0,0,0,0
1993,MMR,IND,Myanmar,India,169,0,0,0,0,0,0
1993,MMR,SGP,Myanmar,Singapore,5,0,0,0,0,0,0
1993,MMR,SWE,Myanmar,Sweden,25,0,0,0,0,0,0
1993,MMR,THA,Myanmar,Thailand,82289,0,0,0,0,0,0
1993,MMR,USA,Myanmar,United States of America,240,0,0,0,0,0,0
1994,MMR,BGD,Myanmar,Bangladesh,116074,0,0,0,0,0,0
1994,MMR,CAN,Myanmar,Canada,168,0,0,0,0,0,0
1994,MMR,DNK,Myanmar,Denmark,5,0,0,0,0,0,0
1994,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,15,0,0,0,0,0,0
1994,MMR,IND,Myanmar,India,245,0,0,0,0,0,0
1994,MMR,ITA,Myanmar,Italy,5,0,0,0,0,0,0
1994,MMR,MYS,Myanmar,Malaysia,5113,0,0,0,0,0,0
1994,MMR,NLD,Myanmar,Netherlands (Kingdom of the),7,0,0,0,0,0,0
1994,MMR,PAK,Myanmar,Pakistan,17,0,0,0,0,0,0
1994,MMR,SWE,Myanmar,Sweden,39,0,0,0,0,0,0
1994,MMR,THA,Myanmar,Thailand,82422,0,0,0,0,0,0
1994,MMR,USA,Myanmar,United States of America,402,0,0,0,0,0,0
1995,MMR,BGD,Myanmar,Bangladesh,50985,0,0,0,0,0,0
1995,MMR,CAN,Myanmar,Canada,208,0,0,0,0,0,0
1995,MMR,DNK,Myanmar,Denmark,5,0,0,0,0,0,0
1995,MMR,FRA,Myanmar,France,38,0,0,0,0,0,0
1995,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,15,0,0,0,0,0,0
1995,MMR,IND,Myanmar,India,307,0,0,0,0,0,0
1995,MMR,ITA,Myanmar,Italy,5,0,0,0,0,0,0
1995,MMR,MYS,Myanmar,Malaysia,5117,0,0,0,0,0,0
1995,MMR,NLD,Myanmar,Netherlands (Kingdom of the),12,0,0,0,0,0,0
1995,MMR,NZL,Myanmar,New Zealand,7,0,0,0,0,0,0
1995,MMR,PHL,Myanmar,Philippines,5,0,0,0,0,0,0
1995,MMR,ESP,Myanmar,Spain,5,0,0,0,0,0,0
1995,MMR,SWE,Myanmar,Sweden,40,0,0,0,0,0,0
1995,MMR,THA,Myanmar,Thailand,94910,0,0,0,0,0,0
1995,MMR,USA,Myanmar,United States of America,642,0,0,0,0,0,0
1996,MMR,AUS,Myanmar,Australia,1612,0,0,0,0,0,0
1996,MMR,BGD,Myanmar,Bangladesh,30578,0,0,0,0,0,0
1996,MMR,CAN,Myanmar,Canada,286,0,0,0,0,0,0
1996,MMR,DNK,Myanmar,Denmark,5,0,0,0,0,0,0
1996,MMR,FRA,Myanmar,France,40,0,0,0,0,0,0
1996,MMR,GBR,Myanmar,United Kingdom of Great Britain and Northern Ireland,15,0,0,0,0,0,0
1996,MMR,IND,Myanmar,India,440,0,0,0,0,0,0
