Year,Country of Origin Code,Country of Origin Name,Country of Asylum Code,Country of Asylum Name,Displaced From,Displaced Stateless Within,Displaced Stateless From,Asylum seekers Incoming,Asylum seekers Outgoing,Number of Applications Incoming,Number of Applications Outgoing,Host community Incoming,Host community Outgoing,Internally displaced persons Incoming,Internally displaced persons Outgoing,Other people in need of international protection Incoming,Other people in need of international protection Outgoing,Others of concern to UNHCR Incoming,Others of concern to UNHCR Outgoing,Refugees Incoming,Refugees Outgoing,Stateless Persons Incoming,Stateless Persons Outgoing
#date+year,#country+code+origin,#country+name+origin,#country+code+asylum,#country+name+asylum,#affected+displaced+outgoing,#affected+displaced+stateless+incoming,#affected+displaced+stateless+outgoing,#affected+asylum_seekers+incoming,#affected+asylum_seekers+outgoing,#inneed+asylum_seekers+applications+incoming,#inneed+asylum_seekers+applications+outgoing,#affected+hst+incoming,#affected+hst+outgoing,#affected+idps+incoming,#affected+idps+outgoing,#affected+oip+incoming,#affected+oip+outgoing,#affected+others+incoming,#affected+others+outgoing,#affected+refugees+incoming,#affected+refugees+outgoing,#affected+stateless+incoming,#affected+stateless+outgoing
2015,MMR,Myanmar,EGY,Egypt,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,AUS,Australia,564,564,564,69,69,26,26,0,0,0,0,0,0,0,0,495,495,0,0
2015,MMR,Myanmar,AUT,Austria,50,50,50,16,16,23,23,0,0,0,0,0,0,0,0,34,34,0,0
2015,MMR,Myanmar,BEL,Belgium,18,18,18,8,8,5,5,0,0,0,0,0,0,0,0,10,10,0,0
2015,MMR,Myanmar,BGD,Bangladesh,231948,231948,231948,0,0,,,0,0,0,0,0,0,0,0,231948,231948,0,0
2015,MMR,Myanmar,BRA,Brazil,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,BGR,Bulgaria,19,19,19,19,19,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,KHM,Cambodia,24,24,24,5,5,,,0,0,0,0,0,0,0,0,19,19,0,0
2015,MMR,Myanmar,CAN,Canada,228,228,228,5,5,5,5,0,0,0,0,0,0,0,0,223,223,0,0
2015,MMR,Myanmar,CZE,Czechia,160,160,160,0,0,,,0,0,0,0,0,0,0,0,160,160,0,0
2015,MMR,Myanmar,DNK,Denmark,63,63,63,9,9,11,11,0,0,0,0,0,0,0,0,54,54,0,0
2015,MMR,Myanmar,FIN,Finland,32,32,32,5,5,5,5,0,0,0,0,0,0,0,0,27,27,0,0
2015,MMR,Myanmar,FRA,France,362,362,362,51,51,48,48,0,0,0,0,0,0,0,0,311,311,0,0
2015,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,1101,1101,1101,159,159,175,175,0,0,0,0,0,0,0,0,942,942,0,0
2015,MMR,Myanmar,DEU,Germany,878,878,878,170,170,54,54,0,0,0,0,0,0,0,0,708,708,0,0
2015,MMR,Myanmar,GRC,Greece,26,26,26,13,13,18,18,0,0,0,0,0,0,0,0,13,13,0,0
2015,MMR,Myanmar,HUN,Hungary,30,30,30,25,25,68,68,0,0,0,0,0,0,0,0,5,5,0,0
2015,MMR,Myanmar,IND,India,18626,18626,18626,2891,2891,2847,2847,0,0,0,0,0,0,0,0,15735,15735,0,0
2015,MMR,Myanmar,IDN,Indonesia,1105,1105,1105,419,419,1034,1034,0,0,0,0,0,0,0,0,686,686,0,0
2015,MMR,Myanmar,IRL,Ireland,18,18,18,5,5,5,5,0,0,0,0,0,0,0,0,13,13,0,0
2015,MMR,Myanmar,ITA,Italy,36,36,36,5,5,5,5,0,0,0,0,0,0,0,0,31,31,0,0
2015,MMR,Myanmar,JPN,Japan,3318,3318,3318,1492,1492,808,808,0,0,0,0,0,0,0,0,1826,1826,0,0
2015,MMR,Myanmar,KOR,Republic of Korea,230,230,230,17,17,44,44,0,0,0,0,0,0,0,0,213,213,0,0
2015,MMR,Myanmar,LKA,Sri Lanka,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,MEX,Mexico,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,MYS,Malaysia,142235,142235,142235,53598,53598,18141,18141,0,0,0,0,0,0,0,0,88637,88637,0,0
2015,MMR,Myanmar,MMR,Myanmar,0,451089,451089,0,0,,,0,0,451089,451089,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,NPL,Nepal,164,164,164,8,8,56,56,0,0,0,0,0,0,0,0,156,156,0,0
2015,MMR,Myanmar,NLD,Netherlands (Kingdom of the),889,889,889,11,11,37,37,0,0,0,0,0,0,0,0,878,878,0,0
2015,MMR,Myanmar,NOR,Norway,160,160,160,12,12,5,5,0,0,0,0,0,0,0,0,148,148,0,0
2015,MMR,Myanmar,NRU,Nauru,10,10,10,5,5,,,0,0,0,0,0,0,0,0,5,5,0,0
2015,MMR,Myanmar,NZL,New Zealand,22,22,22,0,0,,,0,0,0,0,0,0,0,0,22,22,0,0
2015,MMR,Myanmar,PAK,Pakistan,24,24,24,0,0,7,7,0,0,0,0,0,0,0,0,24,24,0,0
2015,MMR,Myanmar,PHL,Philippines,6,6,6,0,0,,,0,0,0,0,0,0,0,0,6,6,0,0
2015,MMR,Myanmar,PNG,Papua New Guinea,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0
2015,MMR,Myanmar,ROU,Romania,43,43,43,0,0,,,0,0,0,0,0,0,0,0,43,43,0,0
